Date,Predicted_Close
1/1/2016,17157.0395
1/2/2016,17113.93951
1/3/2016,17066.3556
1/4/2016,17024.80121
1/5/2016,16993.28969
1/6/2016,16971.88696
1/7/2016,16959.20591
1/8/2016,16953.39941
1/9/2016,16952.68481
1/10/2016,16955.50532
1/11/2016,16960.61406
1/12/2016,16967.0426
1/13/2016,16974.07352
1/14/2016,16981.18649
1/15/2016,16988.02316
1/16/2016,16994.3479
1/17/2016,17000.02257
1/18/2016,17004.98054
1/19/2016,17009.19938
1/20/2016,17012.70222
